All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total K2O,Germany,1994,668
Grand Total K2O,Germany,1995,649
Grand Total K2O,Germany,1996,645.8
Grand Total K2O,Germany,1997,658.8
Grand Total K2O,Germany,1998,628.6
Grand Total K2O,Germany,1999,619
Grand Total K2O,Germany,2000,544
Grand Total K2O,Germany,2001,503.1
Grand Total K2O,Germany,2002,480
Grand Total K2O,Germany,2003,485
Grand Total K2O,Germany,2004,479.5
Grand Total K2O,Germany,2005,426
Grand Total K2O,Germany,2006,442.6
Grand Total K2O,Germany,2007,511.3
Grand Total K2O,Germany,2008,179.1
Grand Total K2O,Germany,2009,362.8
Grand Total K2O,Germany,2010,433.6
Grand Total K2O,Germany,2011,386.4
Grand Total K2O,Germany,2012,421
Grand Total K2O,Germany,2013,457.1
Grand Total K2O,Germany,2014,459.9
Grand Total K2O,Germany,2015,397.7
Grand Total K2O,Germany,2016,430.1
Grand Total K2O,Germany,2017,391.6
Grand Total K2O,Germany,2018,409.6
Grand Total K2O,Germany,2019,419.5
Grand Total K2O,Indonesia,1986,142.4
Grand Total K2O,Indonesia,1987,218.6
Grand Total K2O,Indonesia,1988,289.9
Grand Total K2O,Indonesia,1989,274.4
Grand Total K2O,Indonesia,1990,310
Grand Total K2O,Indonesia,1991,270.7
Grand Total K2O,Indonesia,1992,293
Grand Total K2O,Indonesia,1993,219.4
Grand Total K2O,Indonesia,1994,300
Grand Total K2O,Indonesia,1995,300
Grand Total K2O,Indonesia,1996,300
Grand Total K2O,Indonesia,1997,241
Grand Total K2O,Indonesia,1998,245
Grand Total K2O,Indonesia,1999,275
Grand Total K2O,Indonesia,2000,266
Grand Total K2O,Indonesia,2001,291
Grand Total K2O,Indonesia,2002,450
Grand Total K2O,Indonesia,2003,570
Grand Total K2O,Indonesia,2004,749
Grand Total K2O,Indonesia,2005,745.6
Grand Total K2O,Indonesia,2006,802
Grand Total K2O,Indonesia,2007,931.3
Grand Total K2O,Indonesia,2008,953
Grand Total K2O,Indonesia,2009,801
Grand Total K2O,Indonesia,2010,1250
Grand Total K2O,Indonesia,2011,1401
Grand Total K2O,Indonesia,2012,1490
Grand Total K2O,Indonesia,2013,1620
Grand Total K2O,Indonesia,2014,1771.4
Grand Total K2O,Indonesia,2015,1635
Grand Total K2O,Indonesia,2016,1600.1
Grand Total K2O,Indonesia,2017,2006.4
Grand Total K2O,Indonesia,2018,2290.1
Grand Total K2O,Indonesia,2019,1603.5
Grand Total K2O,Switzerland,1986,63.1
Grand Total K2O,Switzerland,1987,64.3
Grand Total K2O,Switzerland,1988,66
Grand Total K2O,Switzerland,1989,67.4
Grand Total K2O,Switzerland,1990,66.2
Grand Total K2O,Switzerland,1991,59
Grand Total K2O,Switzerland,1992,56
Grand Total K2O,Switzerland,1993,56
Grand Total K2O,Switzerland,1994,55
Grand Total K2O,Switzerland,1995,43
Grand Total K2O,Switzerland,1996,37
Grand Total K2O,Switzerland,1997,36
Grand Total K2O,Switzerland,1998,36
Grand Total K2O,Switzerland,1999,31
Grand Total K2O,Switzerland,2000,30
Grand Total K2O,Switzerland,2001,30
Grand Total K2O,Switzerland,2002,28
Grand Total K2O,Switzerland,2003,28
Grand Total K2O,Switzerland,2004,28
Grand Total K2O,Switzerland,2005,28
Grand Total K2O,Switzerland,2006,28
Grand Total K2O,Switzerland,2007,28
Grand Total K2O,Switzerland,2008,23
Grand Total K2O,Switzerland,2009,23
Grand Total K2O,Switzerland,2010,23
Grand Total K2O,Switzerland,2011,22
Grand Total K2O,Switzerland,2012,22
Grand Total K2O,Switzerland,2013,15.3
Grand Total K2O,Switzerland,2014,16.7
Grand Total K2O,Switzerland,2015,19.2
Grand Total K2O,Switzerland,2016,15.8
Grand Total K2O,Switzerland,2017,14.1
Grand Total K2O,Switzerland,2018,16.8
Grand Total K2O,Switzerland,2019,17.5
Grand Total K2O,Italy,1986,468.3
Grand Total K2O,Italy,1987,444.2
Grand Total K2O,Italy,1988,446
Grand Total K2O,Italy,1989,377
Grand Total K2O,Italy,1990,339
Grand Total K2O,Italy,1991,418
Grand Total K2O,Italy,1992,399
Grand Total K2O,Italy,1993,394
Grand Total K2O,Italy,1994,431
Grand Total K2O,Italy,1995,405
Grand Total K2O,Italy,1996,414
Grand Total K2O,Italy,1997,402
Grand Total K2O,Italy,1998,395
Grand Total K2O,Italy,1999,402
Grand Total K2O,Italy,2000,400
Grand Total K2O,Italy,2001,380
Grand Total K2O,Italy,2002,378
Grand Total K2O,Italy,2003,380
Grand Total K2O,Italy,2004,345
Grand Total K2O,Italy,2005,291
Grand Total K2O,Italy,2006,298
Grand Total K2O,Italy,2007,303
Grand Total K2O,Italy,2008,149
Grand Total K2O,Italy,2009,110
Grand Total K2O,Italy,2010,136
Grand Total K2O,Italy,2011,136
Grand Total K2O,Italy,2012,140
Grand Total K2O,Italy,2013,140
Grand Total K2O,Italy,2014,124
Grand Total K2O,Italy,2015,120
Grand Total K2O,Italy,2016,116
Grand Total K2O,Italy,2017,114.1
Grand Total K2O,Italy,2018,114
Grand Total K2O,Italy,2019,111
Grand Total K2O,Saudi Arabia,1986,34
Grand Total K2O,Saudi Arabia,1987,35
Grand Total K2O,Saudi Arabia,1988,35
Grand Total K2O,Saudi Arabia,1989,35
Grand Total K2O,Saudi Arabia,1990,23
Grand Total K2O,Saudi Arabia,1991,24
Grand Total K2O,Saudi Arabia,1992,28.6
Grand Total K2O,Saudi Arabia,1993,15
Grand Total K2O,Saudi Arabia,1994,9
Grand Total K2O,Saudi Arabia,1995,10
Grand Total K2O,Saudi Arabia,1996,8
Grand Total K2O,Saudi Arabia,1997,9
Grand Total K2O,Saudi Arabia,1998,9
Grand Total K2O,Saudi Arabia,1999,9
Grand Total K2O,Saudi Arabia,2000,9
Grand Total K2O,Saudi Arabia,2001,9
Grand Total K2O,Saudi Arabia,2002,9
Grand Total K2O,Saudi Arabia,2003,9.2
Grand Total K2O,Saudi Arabia,2004,22
Grand Total K2O,Saudi Arabia,2005,21.7
Grand Total K2O,Saudi Arabia,2006,23
Grand Total K2O,Saudi Arabia,2007,22.5
Grand Total K2O,Saudi Arabia,2008,17
Grand Total K2O,Saudi Arabia,2009,10
Grand Total K2O,Saudi Arabia,2010,10
Grand Total K2O,Saudi Arabia,2011,10
Grand Total K2O,Saudi Arabia,2012,10
Grand Total K2O,Saudi Arabia,2013,23.7
Grand Total K2O,Saudi Arabia,2014,20
Grand Total K2O,Saudi Arabia,2015,22.4
Grand Total K2O,Saudi Arabia,2016,19.6
Grand Total K2O,Saudi Arabia,2017,27.5
Grand Total K2O,Saudi Arabia,2018,29.4
Grand Total K2O,Saudi Arabia,2019,49.7
Grand Total K2O,Cameroon,1986,13
Grand Total K2O,Cameroon,1987,10.9
Grand Total K2O,Cameroon,1988,8.4
Grand Total K2O,Cameroon,1989,6
Grand Total K2O,Cameroon,1990,9.8
Grand Total K2O,Cameroon,1991,9.3
Grand Total K2O,Cameroon,1992,7.5
Grand Total K2O,Cameroon,1993,6.7
Grand Total K2O,Cameroon,1994,10
Grand Total K2O,Cameroon,1995,10
Grand Total K2O,Cameroon,1996,11
Grand Total K2O,Cameroon,1997,13.3
Grand Total K2O,Cameroon,1998,15.4
Grand Total K2O,Cameroon,1999,13.6
Grand Total K2O,Cameroon,2000,16.5
Grand Total K2O,Cameroon,2001,16.9
Grand Total K2O,Cameroon,2002,13.4
Grand Total K2O,Cameroon,2003,8.8
Grand Total K2O,Cameroon,2004,15
Grand Total K2O,Cameroon,2005,14.1
Grand Total K2O,Cameroon,2006,14
Grand Total K2O,Cameroon,2007,14.5
Grand Total K2O,Cameroon,2008,11
Grand Total K2O,Cameroon,2009,10
Grand Total K2O,Cameroon,2010,11
Grand Total K2O,Cameroon,2011,13
Grand Total K2O,Cameroon,2012,12.5
Grand Total K2O,Cameroon,2013,13.3
Grand Total K2O,Cameroon,2014,13.4
Grand Total K2O,Cameroon,2015,26.3
Grand Total K2O,Cameroon,2016,17.1
Grand Total K2O,Cameroon,2017,22.6
Grand Total K2O,Cameroon,2018,29.4
Grand Total K2O,Cameroon,2019,18.5
Grand Total K2O,Nepal,1986,0.2
Grand Total K2O,Nepal,1987,0.9
Grand Total K2O,Nepal,1988,1.2
Grand Total K2O,Nepal,1989,1.3
Grand Total K2O,Nepal,1990,1.6
Grand Total K2O,Nepal,1991,1.4
Grand Total K2O,Nepal,1992,1.2
Grand Total K2O,Nepal,1993,1.3
Grand Total K2O,Nepal,1994,1.7
Grand Total K2O,Nepal,1995,2.4
Grand Total K2O,Nepal,1996,3
Grand Total K2O,Nepal,1997,1.6
Grand Total K2O,Nepal,1998,1.8
Grand Total K2O,Nepal,1999,2
Grand Total K2O,Nepal,2000,3.1
Grand Total K2O,Nepal,2001,3
Grand Total K2O,Nepal,2002,3
Grand Total K2O,Nepal,2003,0
Grand Total K2O,Nepal,2004,1.4
Grand Total K2O,Nepal,2005,4.9
Grand Total K2O,Nepal,2006,2
Grand Total K2O,Nepal,2007,2
Grand Total K2O,Nepal,2008,1
Grand Total K2O,Nepal,2009,1
Grand Total K2O,Nepal,2010,1
Grand Total K2O,Nepal,2011,1
Grand Total K2O,Nepal,2012,1.6
Grand Total K2O,Nepal,2013,0.1
Grand Total K2O,Nepal,2014,0.1
Grand Total K2O,Nepal,2015,0
Grand Total K2O,Nepal,2016,0.1
Grand Total K2O,Nepal,2017,1.5
Grand Total K2O,Nepal,2018,4.5
Grand Total K2O,Nepal,2019,0.1
Grand Total K2O,Finland,1986,145
Grand Total K2O,Finland,1987,151.1
Grand Total K2O,Finland,1988,140
Grand Total K2O,Finland,1989,140.9
Grand Total K2O,Finland,1990,119
Grand Total K2O,Finland,1991,88.7
Grand Total K2O,Finland,1992,89
Grand Total K2O,Finland,1993,88
Grand Total K2O,Finland,1994,90
Grand Total K2O,Finland,1995,85
Grand Total K2O,Finland,1996,82
Grand Total K2O,Finland,1997,81
Grand Total K2O,Finland,1998,81
Grand Total K2O,Finland,1999,82
Grand Total K2O,Finland,2000,80
Grand Total K2O,Finland,2001,68
Grand Total K2O,Finland,2002,68
Grand Total K2O,Finland,2003,68
Grand Total K2O,Finland,2004,67
Grand Total K2O,Finland,2005,67
Grand Total K2O,Finland,2006,67
Grand Total K2O,Finland,2007,64
Grand Total K2O,Finland,2008,35
Grand Total K2O,Finland,2009,42
Grand Total K2O,Finland,2010,41
Grand Total K2O,Finland,2011,36
Grand Total K2O,Finland,2012,35
Grand Total K2O,Finland,2013,35
Grand Total K2O,Finland,2014,35
Grand Total K2O,Finland,2015,37
Grand Total K2O,Finland,2016,37
Grand Total K2O,Finland,2017,37
Grand Total K2O,Finland,2018,40
Grand Total K2O,Finland,2019,41
Grand Total K2O,Bangladesh,1986,39.6
Grand Total K2O,Bangladesh,1987,51.6
Grand Total K2O,Bangladesh,1988,56.4
Grand Total K2O,Bangladesh,1989,71.4
Grand Total K2O,Bangladesh,1990,90
Grand Total K2O,Bangladesh,1991,82.2
Grand Total K2O,Bangladesh,1992,73.4
Grand Total K2O,Bangladesh,1993,62.3
Grand Total K2O,Bangladesh,1994,92.4
Grand Total K2O,Bangladesh,1995,94
Grand Total K2O,Bangladesh,1996,117
Grand Total K2O,Bangladesh,1997,115.8
Grand Total K2O,Bangladesh,1998,126.6
Grand Total K2O,Bangladesh,1999,143.6
Grand Total K2O,Bangladesh,2000,143
Grand Total K2O,Bangladesh,2001,140.9
Grand Total K2O,Bangladesh,2002,151.2
Grand Total K2O,Bangladesh,2003,161.2
Grand Total K2O,Bangladesh,2004,201
Grand Total K2O,Bangladesh,2005,153
Grand Total K2O,Bangladesh,2006,148
Grand Total K2O,Bangladesh,2007,164.4
Grand Total K2O,Bangladesh,2008,50
Grand Total K2O,Bangladesh,2009,162.1
Grand Total K2O,Bangladesh,2010,222
Grand Total K2O,Bangladesh,2011,373
Grand Total K2O,Bangladesh,2012,352
Grand Total K2O,Bangladesh,2013,347
Grand Total K2O,Bangladesh,2014,384.1
Grand Total K2O,Bangladesh,2015,436.3
Grand Total K2O,Bangladesh,2016,469
Grand Total K2O,Bangladesh,2017,483.4
Grand Total K2O,Bangladesh,2018,444.4
Grand Total K2O,Bangladesh,2019,440.2
Grand Total K2O,Zimbabwe,1986,30.3
Grand Total K2O,Zimbabwe,1987,27.5
Grand Total K2O,Zimbabwe,1988,30.1
Grand Total K2O,Zimbabwe,1989,31.7
Grand Total K2O,Zimbabwe,1990,31.1
Grand Total K2O,Zimbabwe,1991,31.3
Grand Total K2O,Zimbabwe,1992,21.4
Grand Total K2O,Zimbabwe,1993,31.2
Grand Total K2O,Zimbabwe,1994,35.5
Grand Total K2O,Zimbabwe,1995,31
Grand Total K2O,Zimbabwe,1996,37
Grand Total K2O,Zimbabwe,1997,37
Grand Total K2O,Zimbabwe,1998,38
Grand Total K2O,Zimbabwe,1999,42
Grand Total K2O,Zimbabwe,2000,34.5
Grand Total K2O,Zimbabwe,2001,35.2
Grand Total K2O,Zimbabwe,2002,20
Grand Total K2O,Zimbabwe,2003,10
Grand Total K2O,Zimbabwe,2004,10
Grand Total K2O,Zimbabwe,2005,9
Grand Total K2O,Zimbabwe,2006,10
Grand Total K2O,Zimbabwe,2007,10
Grand Total K2O,Zimbabwe,2008,4.3
Grand Total K2O,Zimbabwe,2009,3.6
Grand Total K2O,Zimbabwe,2010,10
Grand Total K2O,Zimbabwe,2011,12
Grand Total K2O,Zimbabwe,2012,12
Grand Total K2O,Zimbabwe,2013,15.2
Grand Total K2O,Zimbabwe,2014,21.6
Grand Total K2O,Zimbabwe,2015,13
Grand Total K2O,Zimbabwe,2016,33.2
Grand Total K2O,Zimbabwe,2017,7.1
Grand Total K2O,Zimbabwe,2018,12.2
Grand Total K2O,Zimbabwe,2019,5.5
Grand Total K2O,Greece,1986,61.6
Grand Total K2O,Greece,1987,52.7
Grand Total K2O,Greece,1988,59.4
Grand Total K2O,Greece,1989,68.8
Grand Total K2O,Greece,1990,76.7
Grand Total K2O,Greece,1991,67.5
Grand Total K2O,Greece,1992,57
Grand Total K2O,Greece,1993,55
Grand Total K2O,Greece,1994,55
Grand Total K2O,Greece,1995,54
Grand Total K2O,Greece,1996,75
Grand Total K2O,Greece,1997,65
Grand Total K2O,Greece,1998,60
Grand Total K2O,Greece,1999,59
Grand Total K2O,Greece,2000,58
Grand Total K2O,Greece,2001,58
Grand Total K2O,Greece,2002,58
Grand Total K2O,Greece,2003,57
Grand Total K2O,Greece,2004,56
Grand Total K2O,Greece,2005,55
Grand Total K2O,Greece,2006,52
Grand Total K2O,Greece,2007,47
Grand Total K2O,Greece,2008,37
Grand Total K2O,Greece,2009,47
Grand Total K2O,Greece,2010,42
Grand Total K2O,Greece,2011,42
Grand Total K2O,Greece,2012,47
Grand Total K2O,Greece,2013,47.1
Grand Total K2O,Greece,2014,48.5
Grand Total K2O,Greece,2015,45.9
Grand Total K2O,Greece,2016,46
Grand Total K2O,Greece,2017,44
Grand Total K2O,Greece,2018,44
Grand Total K2O,Greece,2019,47.6
Grand Total K2O,Ecuador,1986,23
Grand Total K2O,Ecuador,1987,19.1
Grand Total K2O,Ecuador,1988,25.8
Grand Total K2O,Ecuador,1989,14.4
Grand Total K2O,Ecuador,1990,19.6
Grand Total K2O,Ecuador,1991,24.1
Grand Total K2O,Ecuador,1992,30.3
Grand Total K2O,Ecuador,1993,16
Grand Total K2O,Ecuador,1994,20
Grand Total K2O,Ecuador,1995,24
Grand Total K2O,Ecuador,1996,30
Grand Total K2O,Ecuador,1997,39.9
Grand Total K2O,Ecuador,1998,44.1
Grand Total K2O,Ecuador,1999,68.6
Grand Total K2O,Ecuador,2000,57.4
Grand Total K2O,Ecuador,2001,76.9
Grand Total K2O,Ecuador,2002,65.8
Grand Total K2O,Ecuador,2003,72.8
Grand Total K2O,Ecuador,2004,80.1
Grand Total K2O,Ecuador,2005,75
Grand Total K2O,Ecuador,2006,88
Grand Total K2O,Ecuador,2007,75
Grand Total K2O,Ecuador,2008,74.8
Grand Total K2O,Ecuador,2009,49.5
Grand Total K2O,Ecuador,2010,102
Grand Total K2O,Ecuador,2011,103.3
Grand Total K2O,Ecuador,2012,75.7
Grand Total K2O,Ecuador,2013,83.3
Grand Total K2O,Ecuador,2014,133.9
Grand Total K2O,Ecuador,2015,102
Grand Total K2O,Ecuador,2016,114.2
Grand Total K2O,Ecuador,2017,129.8
Grand Total K2O,Ecuador,2018,178.6
Grand Total K2O,Ecuador,2019,130.7
Grand Total K2O,Iceland,1986,5.4
Grand Total K2O,Iceland,1987,5.4
Grand Total K2O,Iceland,1988,4.6
Grand Total K2O,Iceland,1989,5
Grand Total K2O,Iceland,1990,4.8
Grand Total K2O,Iceland,1991,4.5
Grand Total K2O,Iceland,1992,3.9
Grand Total K2O,Iceland,1993,5
Grand Total K2O,Iceland,1994,3.9
Grand Total K2O,Iceland,1995,3.5
Grand Total K2O,Iceland,1996,3.8
Grand Total K2O,Iceland,1997,3.4
Grand Total K2O,Iceland,1998,2
Grand Total K2O,Iceland,1999,4.2
Grand Total K2O,Iceland,2000,0
Grand Total K2O,Iceland,2001,1.7
Grand Total K2O,Iceland,2002,1.5
Grand Total K2O,Iceland,2003,1.5
Grand Total K2O,Iceland,2004,2
Grand Total K2O,Iceland,2005,2
Grand Total K2O,Iceland,2006,2
Grand Total K2O,Iceland,2007,4.5
Grand Total K2O,Iceland,2008,2.9
Grand Total K2O,Iceland,2009,3
Grand Total K2O,Iceland,2010,3
Grand Total K2O,Iceland,2011,3
Grand Total K2O,Iceland,2012,3.1
Grand Total K2O,Iceland,2013,5
Grand Total K2O,Iceland,2014,4.7
Grand Total K2O,Iceland,2015,4.7
Grand Total K2O,Iceland,2016,5
Grand Total K2O,Iceland,2017,5.6
Grand Total K2O,Iceland,2018,4.1
Grand Total K2O,Iceland,2019,4.7
Grand Total K2O,Belgium and Luxemburg,1986,137
Grand Total K2O,Belgium and Luxemburg,1987,131
Grand Total K2O,Belgium and Luxemburg,1988,132
Grand Total K2O,Belgium and Luxemburg,1989,125
Grand Total K2O,Belgium and Luxemburg,1990,120
Grand Total K2O,Belgium and Luxemburg,1991,107
Grand Total K2O,Belgium and Luxemburg,1992,102
Grand Total K2O,Belgium and Luxemburg,1993,101
Grand Total K2O,Belgium and Luxemburg,1994,100
Grand Total K2O,Belgium and Luxemburg,1995,91
Grand Total K2O,Belgium and Luxemburg,1996,96
Grand Total K2O,Belgium and Luxemburg,1997,92
Grand Total K2O,Belgium and Luxemburg,1998,91
Grand Total K2O,Belgium and Luxemburg,1999,88
Grand Total K2O,Belgium and Luxemburg,2000,88
Grand Total K2O,Belgium and Luxemburg,2001,80
Grand Total K2O,Belgium and Luxemburg,2002,85
Grand Total K2O,Belgium and Luxemburg,2003,85
Grand Total K2O,Belgium and Luxemburg,2004,89
Grand Total K2O,Belgium and Luxemburg,2005,89
Grand Total K2O,Belgium and Luxemburg,2006,89
Grand Total K2O,Belgium and Luxemburg,2007,84
Grand Total K2O,Belgium and Luxemburg,2008,55
Grand Total K2O,Belgium and Luxemburg,2009,59
Grand Total K2O,Belgium and Luxemburg,2010,54
Grand Total K2O,Belgium and Luxemburg,2011,54
Grand Total K2O,Belgium and Luxemburg,2012,54
Grand Total K2O,Belgium and Luxemburg,2013,54
Grand Total K2O,Belgium and Luxemburg,2014,55
Grand Total K2O,Belgium and Luxemburg,2015,57
Grand Total K2O,Belgium and Luxemburg,2016,57
Grand Total K2O,Belgium and Luxemburg,2017,60
Grand Total K2O,Belgium and Luxemburg,2018,60
Grand Total K2O,Belgium and Luxemburg,2019,60
Grand Total K2O,Costa Rica,1986,19
Grand Total K2O,Costa Rica,1987,30
Grand Total K2O,Costa Rica,1988,26
Grand Total K2O,Costa Rica,1989,30
Grand Total K2O,Costa Rica,1990,38
Grand Total K2O,Costa Rica,1991,38
Grand Total K2O,Costa Rica,1992,41.8
Grand Total K2O,Costa Rica,1993,30
Grand Total K2O,Costa Rica,1994,32
Grand Total K2O,Costa Rica,1995,32
Grand Total K2O,Costa Rica,1996,32
Grand Total K2O,Costa Rica,1997,60
Grand Total K2O,Costa Rica,1998,62
Grand Total K2O,Costa Rica,1999,72
Grand Total K2O,Costa Rica,2000,70
Grand Total K2O,Costa Rica,2001,45.8
Grand Total K2O,Costa Rica,2002,66
Grand Total K2O,Costa Rica,2003,64
Grand Total K2O,Costa Rica,2004,60.7
Grand Total K2O,Costa Rica,2005,85.6
Grand Total K2O,Costa Rica,2006,69
Grand Total K2O,Costa Rica,2007,66.5
Grand Total K2O,Costa Rica,2008,50
Grand Total K2O,Costa Rica,2009,40
Grand Total K2O,Costa Rica,2010,46
Grand Total K2O,Costa Rica,2011,47
Grand Total K2O,Costa Rica,2012,48
Grand Total K2O,Costa Rica,2013,54.1
Grand Total K2O,Costa Rica,2014,79.2
Grand Total K2O,Costa Rica,2015,72.8
Grand Total K2O,Costa Rica,2016,66.1
Grand Total K2O,Costa Rica,2017,82.6
Grand Total K2O,Costa Rica,2018,83.2
Grand Total K2O,Costa Rica,2019,78.2
Grand Total K2O,China,1986,624
Grand Total K2O,China,1987,1299
Grand Total K2O,China,1988,1547.9
Grand Total K2O,China,1989,1201
Grand Total K2O,China,1990,1761
Grand Total K2O,China,1991,2298
Grand Total K2O,China,1992,1860
Grand Total K2O,China,1993,1426
Grand Total K2O,China,1994,2248
Grand Total K2O,China,1995,2782
Grand Total K2O,China,1996,2485
Grand Total K2O,China,1997,3314
Grand Total K2O,China,1998,3346
Grand Total K2O,China,1999,3255
Grand Total K2O,China,2000,3364
Grand Total K2O,China,2001,3936
Grand Total K2O,China,2002,4342
Grand Total K2O,China,2003,4663
Grand Total K2O,China,2004,5456
Grand Total K2O,China,2005,5542.8
Grand Total K2O,China,2006,5815.5
Grand Total K2O,China,2007,5516
Grand Total K2O,China,2008,5024.3
Grand Total K2O,China,2009,3283
Grand Total K2O,China,2010,5853.2
Grand Total K2O,China,2011,6473.3
Grand Total K2O,China,2012,6565.1
Grand Total K2O,China,2013,7042.2
Grand Total K2O,China,2014,8169.3
Grand Total K2O,China,2015,10018.1
Grand Total K2O,China,2016,9911.1
Grand Total K2O,China,2017,10151.1
Grand Total K2O,China,2018,9344
Grand Total K2O,China,2019,10111.4
Grand Total K2O,"Taiwan, China",1986,97.4
Grand Total K2O,"Taiwan, China",1987,95.8
Grand Total K2O,"Taiwan, China",1988,97.8
Grand Total K2O,"Taiwan, China",1989,99.8
Grand Total K2O,"Taiwan, China",1990,102.1
Grand Total K2O,"Taiwan, China",1991,106.3
Grand Total K2O,"Taiwan, China",1992,92
Grand Total K2O,"Taiwan, China",1993,105.3
Grand Total K2O,"Taiwan, China",1994,105
Grand Total K2O,"Taiwan, China",1995,105
Grand Total K2O,"Taiwan, China",1996,106
Grand Total K2O,"Taiwan, China",1997,106
Grand Total K2O,"Taiwan, China",1998,140
Grand Total K2O,"Taiwan, China",1999,135
Grand Total K2O,"Taiwan, China",2000,105
Grand Total K2O,"Taiwan, China",2001,88
Grand Total K2O,"Taiwan, China",2002,85.5
Grand Total K2O,"Taiwan, China",2003,88
Grand Total K2O,"Taiwan, China",2004,90
Grand Total K2O,"Taiwan, China",2005,105
Grand Total K2O,"Taiwan, China",2006,106
Grand Total K2O,"Taiwan, China",2007,105
Grand Total K2O,"Taiwan, China",2008,78
Grand Total K2O,"Taiwan, China",2009,70
Grand Total K2O,"Taiwan, China",2010,90
Grand Total K2O,"Taiwan, China",2011,85
Grand Total K2O,"Taiwan, China",2012,83
Grand Total K2O,"Taiwan, China",2013,80
Grand Total K2O,"Taiwan, China",2014,85
Grand Total K2O,"Taiwan, China",2015,82.1
Grand Total K2O,"Taiwan, China",2016,81.9
Grand Total K2O,"Taiwan, China",2017,79
Grand Total K2O,"Taiwan, China",2018,79
Grand Total K2O,"Taiwan, China",2019,71.6
Grand Total K2O,Iran,1986,7.5
Grand Total K2O,Iran,1987,4.6
Grand Total K2O,Iran,1988,5.8
Grand Total K2O,Iran,1989,0.2
Grand Total K2O,Iran,1990,15.9
Grand Total K2O,Iran,1991,1
Grand Total K2O,Iran,1992,28
Grand Total K2O,Iran,1993,25
Grand Total K2O,Iran,1994,27
Grand Total K2O,Iran,1995,5.2
Grand Total K2O,Iran,1996,20
Grand Total K2O,Iran,1997,37.1
Grand Total K2O,Iran,1998,60
Grand Total K2O,Iran,1999,121.4
Grand Total K2O,Iran,2000,118.2
Grand Total K2O,Iran,2001,147.2
Grand Total K2O,Iran,2002,101.8
Grand Total K2O,Iran,2003,136
Grand Total K2O,Iran,2004,161.5
Grand Total K2O,Iran,2005,181.2
Grand Total K2O,Iran,2006,200
Grand Total K2O,Iran,2007,175
Grand Total K2O,Iran,2008,99
Grand Total K2O,Iran,2009,50
Grand Total K2O,Iran,2010,50
Grand Total K2O,Iran,2011,70
Grand Total K2O,Iran,2012,40
Grand Total K2O,Iran,2013,22.1
Grand Total K2O,Iran,2014,40.9
Grand Total K2O,Iran,2015,30.5
Grand Total K2O,Iran,2016,88.5
Grand Total K2O,Iran,2017,66.8
Grand Total K2O,Iran,2018,32.4
Grand Total K2O,Iran,2019,89.1
Grand Total K2O,India,1986,868.1
Grand Total K2O,India,1987,878.6
Grand Total K2O,India,1988,1029.9
Grand Total K2O,India,1989,1171.7
Grand Total K2O,India,1990,1308.5
Grand Total K2O,India,1991,1360.6
Grand Total K2O,India,1992,883.9
Grand Total K2O,India,1993,937.1
Grand Total K2O,India,1994,1124.8
Grand Total K2O,India,1995,1155.8
Grand Total K2O,India,1996,1043.1
Grand Total K2O,India,1997,1372.5
Grand Total K2O,India,1998,1331.5
Grand Total K2O,India,1999,1678.7
Grand Total K2O,India,2000,1565.1
Grand Total K2O,India,2001,1669.1
Grand Total K2O,India,2002,1597.6
Grand Total K2O,India,2003,1596.9
Grand Total K2O,India,2004,2060.9
Grand Total K2O,India,2005,2413.3
Grand Total K2O,India,2006,2334.8
Grand Total K2O,India,2007,2636.6
Grand Total K2O,India,2008,3312.6
Grand Total K2O,India,2009,3632.4
Grand Total K2O,India,2010,3514.3
Grand Total K2O,India,2011,2575.5
Grand Total K2O,India,2012,2061.8
Grand Total K2O,India,2013,2098.9
Grand Total K2O,India,2014,2532.9
Grand Total K2O,India,2015,2401.5
Grand Total K2O,India,2016,2508.3
Grand Total K2O,India,2017,2779.7
Grand Total K2O,India,2018,2680.3
Grand Total K2O,India,2019,2607
Grand Total K2O,Sudan,1986,0
Grand Total K2O,Sudan,1987,0
Grand Total K2O,Sudan,1988,0
Grand Total K2O,Sudan,1989,0
Grand Total K2O,Sudan,1990,0
Grand Total K2O,Sudan,1991,0
Grand Total K2O,Sudan,1992,0
Grand Total K2O,Sudan,1993,0
Grand Total K2O,Sudan,1994,0
Grand Total K2O,Sudan,1995,0
Grand Total K2O,Sudan,1996,0
Grand Total K2O,Sudan,1997,0
Grand Total K2O,Sudan,1998,0
Grand Total K2O,Sudan,1999,0.6
Grand Total K2O,Sudan,2000,0.6
Grand Total K2O,Sudan,2001,2.7
Grand Total K2O,Sudan,2002,3.8
Grand Total K2O,Sudan,2003,2.7
Grand Total K2O,Sudan,2004,12.5
Grand Total K2O,Sudan,2005,12
Grand Total K2O,Sudan,2006,11
Grand Total K2O,Sudan,2007,3
Grand Total K2O,Sudan,2008,1
